fecha,producto,margen,ventas_totales
2020-01-01,Grifería de Ducha y Tina,0.249816047538945,10860
2020-01-01,Lavamanos,0.1733739159464655,86820
2020-01-01,Grifería de Lavamanos,0.1624074561769746,92386
2020-01-01,Cerámicos,0.13998996632720118,97498
2020-01-01,Mosaicos,0.4464704583099741,54131
2020-01-01,Toalleros,0.1571467271687763,51090
2020-01-01,WC,0.10823379771832098,10769
2020-01-01,Muebles de Baño,0.3887995089067299,74925
2020-01-01,Portapapeles,0.18493564427131048,15311
2020-01-01,Complementos de Pisos Vinílicos,0.496884623716487,93104
2020-01-01,Grifería Institucional,0.2216968971838151,38693
2020-01-01,Grifería de Cocina y Lavadero,0.10282652208788697,35658
2020-01-01,Complementos de Grifería,0.2599443886861022,28431
2020-01-01,Complementos de Sanitarios,0.21685785941408728,69150
2020-01-01,Perchas,0.28242799368681437,94654
2020-01-01,Complementos de Pisos Orgánicos,0.3473544037332349,77435
2020-01-01,Pisos Vinílicos,0.3056937753654446,41551
2020-01-01,Receptáculos,0.286705157299192,79092
2020-01-01,Mamparas de Ducha,0.34301794076057535,90038
2020-01-01,Jaboneras y Vasos,0.10530598446394662,18792
2020-01-01,Tinas,0.4862528132298237,83969
2020-01-01,Wall Panels,0.25416660101596644,33897
2020-01-01,Pisos Fotolaminados,0.13906884560255356,33483
2020-01-01,Grifería de Bidet,0.14881529393791154,27159
2020-01-01,Accesorios Institucionales,0.11375540844608736,90077
2020-01-01,Bidet,0.25642424302929634,77121
2020-01-01,Lavaplatos,0.36500891374159283,29457
2020-01-01,Contenedores,0.2700623497964979,88953
2020-01-01,Organizadores,0.3270801311279966,19692
2020-01-01,Barras de Seguridad,0.48783385110582345,82409
2020-01-01,Urinarios,0.2799016533479063,47065
2020-01-01,Escobillas,0.4579309401710595,42606
2020-01-01,Rack Toallas,0.4687496940092467,50397
2020-01-01,Pisos de Madera,0.1783931449676581,11016
2020-01-01,Modulos,0.4844688097397397,99812
2020-01-01,Espejos,0.25547091587579285,84065
2020-01-01,Accesibilidad Universal,0.31587685295563195,96807
2020-01-01,Pisos Orgánicos,0.2427013306774357,96779
2020-01-01,Gres,0.34281369907467385,48044
2020-01-01,Sanitarios Institucionales,0.42087879230161584,58984
2020-01-02,Grifería de Ducha y Tina,0.4947547746402069,72592
2020-01-02,Lavamanos,0.17948627261366898,58190
2020-01-02,Grifería de Lavamanos,0.42618457138193366,49504
2020-01-02,Cerámicos,0.38453678109946,71858
2020-01-02,Mosaicos,0.4085081386743783,48660
2020-01-02,Toalleros,0.47052035140533965,74505
2020-01-02,WC,0.1463476238100519,32662
2020-01-02,Muebles de Baño,0.4400154311159198,88603
2020-01-02,Portapapeles,0.23235920994105969,99135
2020-01-02,Complementos de Pisos Vinílicos,0.24832730087930655,87373
2020-01-02,Grifería Institucional,0.23007332881069884,94651
2020-01-02,Grifería de Cocina y Lavadero,0.35502298854208525,34538
2020-01-02,Complementos de Grifería,0.32449737033908044,18110
2020-01-02,Complementos de Sanitarios,0.38529791488919807,62992
2020-01-02,Perchas,0.3886918084659493,16910
2020-01-02,Complementos de Pisos Orgánicos,0.2024273291045296,10206
2020-01-02,Pisos Vinílicos,0.27101640734341986,33419
2020-01-02,Receptáculos,0.1431565707973218,60015
2020-01-02,Mamparas de Ducha,0.3545641645055122,64268
2020-01-02,Jaboneras y Vasos,0.3034282764658811,28141
2020-01-02,Tinas,0.15573258176235028,81910
2020-01-02,Wall Panels,0.2641531692142519,43827
2020-01-02,Pisos Fotolaminados,0.4771414282231924,91734
2020-01-02,Grifería de Bidet,0.21590058116550723,32299
2020-01-02,Accesorios Institucionales,0.47187906093702925,74044
2020-01-02,Bidet,0.2182534743350856,12693
2020-01-02,Lavaplatos,0.2826138281931641,79163
2020-01-02,Contenedores,0.2666039791481465,52941
2020-01-02,Organizadores,0.31573689676626027,36105
2020-01-02,Barras de Seguridad,0.14883518188026934,31976
2020-01-02,Urinarios,0.22720138998874556,33776
2020-01-02,Escobillas,0.20885289975385413,76842
2020-01-02,Rack Toallas,0.27084311545050255,65016
2020-01-02,Pisos de Madera,0.22191250326321163,68053
2020-01-02,Modulos,0.3042989210310263,13748
2020-01-02,Espejos,0.37697441315610813,23545
2020-01-02,Accesibilidad Universal,0.2350460685614512,44766
2020-01-02,Pisos Orgánicos,0.16731641686917223,71087
2020-01-02,Gres,0.30751624869734645,78840
2020-01-02,Sanitarios Institucionales,0.26153446842321637,61005
2020-01-03,Grifería de Ducha y Tina,0.4887128330883843,72003
2020-01-03,Lavamanos,0.1987504251354405,75318
2020-01-03,Grifería de Lavamanos,0.2988994023569542,33664
2020-01-03,Cerámicos,0.15923477198135996,36736
2020-01-03,Mosaicos,0.4906459823330612,10854
2020-01-03,Toalleros,0.2114585856946446,17392
2020-01-03,WC,0.3537405378805455,56717
2020-01-03,Muebles de Baño,0.15795794883648925,60859
2020-01-03,Portapapeles,0.2791132658292367,36309
2020-01-03,Complementos de Pisos Vinílicos,0.19682210860460017,80467
2020-01-03,Grifería Institucional,0.1323413305330861,22688
2020-01-03,Grifería de Cocina y Lavadero,0.3912865394447439,77863
2020-01-03,Complementos de Grifería,0.2881202537784154,75733
2020-01-03,Complementos de Sanitarios,0.2595297769778212,90623
2020-01-03,Perchas,0.4193380499938205,52107
2020-01-03,Complementos de Pisos Orgánicos,0.30327951069628745,61663
2020-01-03,Pisos Vinílicos,0.11631005662190558,59811
2020-01-03,Receptáculos,0.23038356208075392,82082
2020-01-03,Mamparas de Ducha,0.38445981297520715,21411
2020-01-03,Jaboneras y Vasos,0.35806911616378,93763
2020-01-03,Tinas,0.47620930579584164,93879
2020-01-03,Wall Panels,0.25469413852021494,21111
2020-01-03,Pisos Fotolaminados,0.1550083776583973,18155
2020-01-03,Grifería de Bidet,0.39408644769630885,57254
2020-01-03,Accesorios Institucionales,0.3165791895310264,70713
2020-01-03,Bidet,0.20317665108606225,56843
2020-01-03,Lavaplatos,0.16998197083837446,26371
2020-01-03,Contenedores,0.3118602313424026,12049
2020-01-03,Organizadores,0.49850147990316973,30932
2020-01-03,Barras de Seguridad,0.4601672228653322,71434
2020-01-03,Urinarios,0.17548284333655176,17400
2020-01-03,Escobillas,0.23968382984506437,25151
2020-01-03,Rack Toallas,0.4386644568953224,14499
2020-01-03,Pisos de Madera,0.45483456970604697,69040
2020-01-03,Modulos,0.35681265846171517,22874
2020-01-03,Espejos,0.47425399768837906,15539
