Fecha,Categoría,Cantidad Producto,Ingreso,Precio Unitario,Año
2019-01-01,mosaicos,29,603055,6177,2019
2019-01-02,griferia de bidet,21,356244,5060,2019
2019-01-03,barras de seguridad,19,214035,6762,2019
2019-01-04,tinas,11,103686,5301,2019
2019-01-05,griferia de ducha y tina,8,593048,5226,2019
2019-01-06,ceramicos,6,426540,5192,2019
2019-01-07,bidet,24,138456,5769,2019
2019-01-08,griferia de bidet,6,569550,5060,2019
2019-01-09,wc,5,176555,5152,2019
2019-01-10,porcelanato,22,544918,5281,2019
2019-01-11,mamparas de ducha,27,368982,5153,2019
2019-01-12,wall panels,28,656068,5077,2019
2019-01-13,urinarios,3,267450,6925,2019
2019-01-14,complemento de pisos vinilicos,4,347544,5612,2019
2019-01-15,pisos organicos,3,438648,5302,2019
2019-01-16,pisos fotolaminados,7,62230,5671,2019
2019-01-17,complemento de pisos vinilicos,18,351036,5612,2019
2019-01-18,contenedores,2,77584,5855,2019
2019-01-19,accesorios institucionales,5,532760,6048,2019
2019-01-20,perchas,7,374381,5060,2019
2019-01-21,pisos de madera,3,141477,5207,2019
2019-01-22,mamparas de ducha,4,263680,5153,2019
2019-01-23,lavamanos,4,397916,5307,2019
2019-01-24,porcelanato,6,579342,5281,2019
2019-01-25,porcelanato,4,435812,5281,2019
2019-01-26,complementos de pisos organicos,2,79384,6000,2019
2019-01-27,griferia de ducha y tina,2,202422,5226,2019
2019-01-28,contenedores,4,488372,5855,2019
2019-01-29,mamparas de ducha,8,500848,5153,2019
2019-01-30,mosaicos,9,1092483,6177,2019
2019-01-31,wc,5,427955,5152,2019
2019-02-01,contenedores,2,108600,5855,2019
2019-02-02,escobillas,24,342432,7200,2019
2019-02-03,lavamanos,9,843336,5307,2019
2019-02-04,pisos de madera,13,304798,5207,2019
2019-02-05,ceramicos,7,148512,5192,2019
2019-02-06,bidet,8,56216,5769,2019
2019-02-07,griferia institucional,3,234570,5557,2019
2019-02-08,mamparas de ducha,3,16173,5153,2019
2019-02-09,mamparas de ducha,5,88330,5153,2019
2019-02-10,muebles de baño,9,511686,7693,2019
2019-02-11,pisos organicos,9,473958,5302,2019
2019-02-12,griferia de lavamanos,2,217206,9370,2019
2019-02-13,receptaculos,24,178896,5589,2019
2019-02-14,accesibilidad universal,8,192920,6481,2019
2019-02-15,bidet,3,163614,5769,2019
2019-02-16,griferia de cocina y lavadero,15,299220,5619,2019
2019-02-17,griferia de cocina y lavadero,1,57266,5619,2019
2019-02-18,tinas,14,77028,5301,2019
2019-02-19,lavaplatos,15,78090,5206,2019
2019-02-20,tinas,3,160257,5301,2019
2019-02-21,receptaculos,7,155729,5589,2019
2019-02-22,wc,29,398895,5152,2019
2019-02-23,wc,5,589695,5152,2019
2019-02-24,accesorios institucionales,13,147862,6048,2019
2019-02-25,accesorios institucionales,29,714154,6048,2019
2019-02-26,wall panels,7,600740,5077,2019
2019-02-27,griferia de cocina y lavadero,28,687148,5619,2019
2019-02-28,lavaplatos,9,1253025,5206,2019
2019-03-01,muebles de baño,28,215404,7693,2019
2019-03-02,mamparas de ducha,4,568940,5153,2019
2019-03-03,receptaculos,7,510587,5589,2019
2019-03-04,pisos organicos,7,363832,5302,2019
2019-03-05,griferia institucional,1,53776,5557,2019
2019-03-06,complementos sanitarios,25,157650,6306,2019
2019-03-07,barras de seguridad,3,255048,6762,2019
2019-03-08,complementos de griferia,9,94770,6367,2019
2019-03-09,complemento de pisos vinilicos,1,33748,5612,2019
2019-03-10,accesorios institucionales,12,222540,6048,2019
